Angle,S1,S2,S3,S4,S5,S6
0,783,824,818,824,792,758
1,768,815,846,831,822,774
2,778,804,806,804,811,750
4,778,814,824,798,785,774
5,783,789,824,803,781,764
7,779,815,830,807,810,769
8,757,807,816,791,819,775
9,798,839,824,803,840,755
11,778,824,844,808,800,780
12,760,780,818,809,818,816
14,767,807,819,804,811,792
15,755,814,818,817,797,759
16,788,813,817,801,796,768
18,775,807,851,803,807,763
19,764,828,826,803,786,773
21,781,784,852,815,807,790
22,785,817,870,802,797,786
23,791,798,856,804,803,780
25,764,825,835,812,809,775
26,775,821,835,802,811,791
28,786,799,856,801,826,772
29,790,803,835,802,818,755
30,778,810,839,821,816,813
32,798,835,814,796,784,808
33,780,807,799,815,800,763
35,789,815,827,805,816,777
36,783,786,830,803,824,767
37,789,795,857,814,821,796
39,775,816,836,795,796,798
40,768,824,819,801,817,797
42,771,814,840,809,802,751
43,777,818,854,814,806,801
45,781,802,840,804,799,751
46,781,796,858,806,817,794
47,789,811,835,807,790,770
49,780,806,824,812,815,793
50,788,809,841,812,795,807
52,775,828,827,815,815,795
53,771,787,830,807,819,801
54,776,799,842,815,819,791
56,776,815,863,813,815,787
57,781,793,831,803,812,800
59,777,815,847,806,810,758
60,779,813,832,803,808,792
61,782,809,809,805,774,816
63,791,812,816,787,793,748
64,789,817,860,800,801,770
66,780,796,843,814,814,762
67,781,822,826,806,809,829
68,779,814,826,811,800,776
70,771,804,813,808,821,768
71,784,819,823,811,787,777
73,794,814,817,811,810,774
74,780,808,845,819,802,781
75,791,807,819,819,834,782
77,781,786,841,811,806,799
78,774,833,841,813,808,799
80,755,791,844,809,799,771
81,771,822,836,809,797,761
82,782,804,848,808,799,812
84,770,810,832,818,812,793
85,768,779,840,810,810,779
87,768,813,829,828,819,763
88,791,798,810,825,822,776
90,787,805,839,817,827,767
91,774,802,865,817,806,779
92,773,828,852,835,793,765
94,801,826,827,813,817,733
95,796,804,839,809,808,762
97,773,823,847,821,822,786
98,801,820,828,795,805,792
99,800,793,848,822,812,777
101,781,782,837,813,816,776
102,789,823,837,822,796,799
104,792,804,833,824,798,777
105,783,826,860,832,822,745
106,781,794,850,789,821,787
108,797,825,846,797,801,753
109,790,803,856,810,826,795
111,798,819,873,815,809,786
112,792,838,854,816,829,795
113,776,815,864,820,821,783
115,798,792,823,821,827,781
116,798,806,846,801,819,766
118,778,823,852,807,806,773
119,795,789,844,817,812,780
120,804,802,842,823,810,801
122,787,804,832,823,809,790
123,794,815,826,837,830,785
125,786,828,837,803,832,804
126,799,801,845,811,827,798
127,786,811,855,823,810,781
129,809,816,818,818,817,792
130,794,825,834,793,828,796
132,786,837,851,812,820,773
133,776,833,855,831,827,789
135,799,825,840,819,811,753
136,800,814,858,821,822,783
137,778,806,826,830,813,755
139,809,824,838,819,799,794
140,785,826,825,815,824,803
142,797,841,860,805,805,765
143,802,828,876,817,814,790
144,811,816,869,826,824,821
146,796,831,822,805,843,771
147,796,804,826,795,818,767
149,768,824,842,807,801,767
150,788,793,853,802,794,735
151,774,815,857,789,813,770
153,788,792,821,797,826,801
154,798,829,856,819,800,791
156,801,820,811,809,793,787
157,790,822,828,818,835,758
158,798,812,858,816,843,765
160,784,832,851,798,798,733
161,777,796,855,816,814,748
163,787,801,825,809,787,723
164,776,815,854,797,798,719
165,772,787,842,777,799,777
167,766,801,817,798,812,768
168,778,807,828,811,834,747
170,782,809,845,802,797,762
171,802,817,824,827,811,740
172,774,801,850,810,837,743
174,797,815,826,832,812,727
175,779,794,827,816,806,733
177,795,807,818,820,812,751
178,794,811,845,804,803,786
180,780,806,834,818,812,751
181,779,809,845,833,824,771
182,785,818,842,824,812,768
184,791,809,838,824,809,746
185,788,832,845,812,807,736
187,786,785,850,811,825,765
188,797,797,827,813,806,765
189,790,815,848,824,818,775
191,800,818,825,819,820,794
192,780,813,834,810,812,782
194,792,824,848,836,846,730
195,786,806,822,805,823,756
196,764,807,835,809,800,709
198,796,817,861,818,819,733
199,783,800,814,813,821,737
201,774,812,819,816,842,786
202,784,812,841,817,806,733
203,787,819,828,821,812,754
205,789,814,851,830,829,759
206,767,819,846,819,799,751
208,775,800,838,828,836,753
209,781,818,820,831,791,744
210,784,844,845,811,810,776
212,767,808,837,828,831,772
213,779,830,826,822,816,757
215,794,815,877,825,820,770
216,787,812,788,814,789,792
217,785,818,850,826,810,794
219,784,824,849,802,813,745
220,803,812,813,809,812,784
222,792,823,830,822,829,757
223,798,827,875,822,829,773
225,799,837,826,820,826,779
226,822,822,863,814,832,814
227,818,837,828,813,816,790
229,808,819,820,829,818,750
230,773,810,870,814,837,808
232,812,830,852,822,817,744
233,801,831,882,822,809,769
234,814,822,855,818,797,790
236,811,829,855,829,815,778
237,780,844,848,841,825,782
239,789,809,854,824,850,746
240,789,796,841,822,832,749
241,777,824,821,825,848,810
243,778,825,873,835,841,806
244,792,819,817,822,849,767
246,790,800,827,822,811,758
247,775,830,849,835,813,825
248,805,836,842,830,813,752
250,778,807,854,826,829,717
251,789,807,830,846,812,793
253,785,814,839,823,818,749
254,773,817,854,818,831,786
255,785,823,836,828,837,795
257,797,808,864,816,834,779
258,776,808,867,825,812,792
260,801,809,853,848,826,777
261,791,820,857,821,816,773
262,792,829,827,822,819,753
264,798,802,845,829,814,799
265,783,798,835,821,815,799
267,780,821,850,823,819,757
268,797,807,852,823,806,803
